mun,year,concepto,prop_ingr,hist,t,monto
Abasolo,1990,Ingresos propios,10.62418063,b,ing,14587
Abasolo,1990,Ingresos provenientes de transferencias federales,338.5484341,b,ing,464827
Abasolo,1990,Ingresos de deuda,8.739985433,b,ing,12000
Abasolo,2000,Ingresos propios,155.7068417,b,ing,391447
Abasolo,2000,Ingresos provenientes de transferencias federales,2553.803103,b,ing,6420261
Abasolo,2000,Ingresos de deuda,0,b,ing,0
Abasolo,2010,Ingresos propios,547.8473665,b,ing,1529042
Abasolo,2010,Ingresos provenientes de transferencias federales,5381.866714,b,ing,15020790
Abasolo,2010,Ingresos de deuda,732.611967,b,ing,2044720
Abasolo,2015,Ingresos propios,1299.834407,b,ing,3430263
Abasolo,2015,Ingresos provenientes de transferencias federales,13820.43918,b,ing,36472139
Abasolo,2015,Ingresos de deuda,0,b,ing,0
Apodaca,1990,Ingresos propios,52.01060278,b,ing,6028705
Apodaca,1990,Ingresos provenientes de transferencias federales,89.29925893,b,ing,10350945
Apodaca,1990,Ingresos de deuda,5.737061417,b,ing,665000
Apodaca,2000,Ingresos propios,431.8397584,b,ing,122425276
Apodaca,2000,Ingresos provenientes de transferencias federales,492.2739853,b,ing,139558198
Apodaca,2000,Ingresos de deuda,16.75502739,b,ing,4750000
Apodaca,2010,Ingresos propios,565.2974187,b,ing,295859710
Apodaca,2010,Ingresos provenientes de transferencias federales,1009.005753,b,ing,528083341
Apodaca,2010,Ingresos de deuda,374.8428798,b,ing,196181518
Apodaca,2015,Ingresos propios,290.8494609,b,ing,173697334
Apodaca,2015,Ingresos provenientes de transferencias federales,1674.579288,b,ing,1000070473
Apodaca,2015,Ingresos de deuda,654.2732235,b,ing,390736549
Apodaca,2018,Ingresos propios,1357.525624,b,ing,871012876
Apodaca,2018,Ingresos provenientes de transferencias federales,1739.259842,b,ing,1115940421
Apodaca,2018,Ingresos de deuda,41.74146611,b,ing,26782076
Cadereyta,1990,Ingresos propios,25.38115412,b,ing,1359973
Cadereyta,1990,Ingresos provenientes de transferencias federales,59.2143817,b,ing,3172825
Cadereyta,1990,Ingresos de deuda,1.364189467,b,ing,73096
Cadereyta,2000,Ingresos propios,400.1881054,b,ing,30037719
Cadereyta,2000,Ingresos provenientes de transferencias federales,718.4812614,b,ing,53928485
Cadereyta,2000,Ingresos de deuda,0,b,ing,0
Cadereyta,2010,Ingresos propios,526.5866042,b,ing,45520779
Cadereyta,2010,Ingresos provenientes de transferencias federales,2121.602221,b,ing,183401904
Cadereyta,2010,Ingresos de deuda,138.0387877,b,ing,11932763
Cadereyta,2015,Ingresos propios,933.3154479,b,ing,89163358
Cadereyta,2015,Ingresos provenientes de transferencias federales,2752.912921,b,ing,262996783
Cadereyta,2015,Ingresos de deuda,179.6464714,b,ing,17162346
Cadereyta,2018,Ingresos propios,937.4782536,b,ing,95897463
Cadereyta,2018,Ingresos provenientes de transferencias federales,2944.211491,b,ing,301172226
Cadereyta,2018,Ingresos de deuda,2944.211491,b,ing,301172226
Ciénaga de Flores,1990,Ingresos propios,34.9287418,b,ing,234302
Ciénaga de Flores,1990,Ingresos provenientes de transferencias federales,223.5648479,b,ing,1499673
Ciénaga de Flores,1990,Ingresos de deuda,0,b,ing,0
Ciénaga de Flores,2000,Ingresos propios,857.470457,b,ing,9607099
Ciénaga de Flores,2000,Ingresos provenientes de transferencias federales,1124.456176,b,ing,12598407
Ciénaga de Flores,2000,Ingresos de deuda,0,b,ing,0
Ciénaga de Flores,2010,Ingresos propios,1414.645274,b,ing,34695590
Ciénaga de Flores,2010,Ingresos provenientes de transferencias federales,1543.337479,b,ing,37851895
Ciénaga de Flores,2010,Ingresos de deuda,724.9786757,b,ing,17780827
Ciénaga de Flores,2015,Ingresos propios,1648.975067,b,ing,70435970
Ciénaga de Flores,2015,Ingresos provenientes de transferencias federales,1870.864755,b,ing,79913988
Ciénaga de Flores,2015,Ingresos de deuda,23.41097975,b,ing,1000000
El Carmen,1990,Ingresos propios,15.37810844,b,ing,75445
El Carmen,1990,Ingresos provenientes de transferencias federales,219.6351406,b,ing,1077530
El Carmen,1990,Ingresos de deuda,0,b,ing,0
El Carmen,2000,Ingresos propios,447.9254967,b,ing,2976017
El Carmen,2000,Ingresos provenientes de transferencias federales,1702.617851,b,ing,11312193
El Carmen,2000,Ingresos de deuda,0,b,ing,0
El Carmen,2010,Ingresos propios,872.3255034,b,ing,14037462
El Carmen,2010,Ingresos provenientes de transferencias federales,1898.298906,b,ing,30547426
El Carmen,2010,Ingresos de deuda,0,b,ing,0
El Carmen,2015,Ingresos propios,835.9931342,b,ing,32023553
El Carmen,2015,Ingresos provenientes de transferencias federales,920.0979481,b,ing,35245272
El Carmen,2015,Ingresos de deuda,0,b,ing,0
García,1990,Ingresos propios,61.78608326,b,ing,813352
García,1990,Ingresos provenientes de transferencias federales,252.6383318,b,ing,3325731
García,1990,Ingresos de deuda,17.5278031,b,ing,230736
García,2000,Ingresos propios,322.6240422,b,ing,9347709
García,2000,Ingresos provenientes de transferencias federales,917.3252916,b,ing,26578583
García,2000,Ingresos de deuda,37.96507213,b,ing,1100000
García,2010,Ingresos propios,856.9053303,b,ing,123109875
García,2010,Ingresos provenientes de transferencias federales,943.2806749,b,ing,135519248
García,2010,Ingresos de deuda,772.1629173,b,ing,110935102
García,2015,Ingresos propios,939.7426567,b,ing,232464141
García,2015,Ingresos provenientes de transferencias federales,1553.467061,b,ing,384281147
García,2015,Ingresos de deuda,0,b,ing,0
General Escobedo,1990,Ingresos propios,17.73521351,b,ing,1740658
General Escobedo,1990,Ingresos provenientes de transferencias federales,48.4627956,b,ing,4756478
General Escobedo,1990,Ingresos de deuda,1.882788063,b,ing,184790
