,mun,year,concepto,prop_ingr,hist,t,monto
0,Abasolo,1990,Ingresos propios,10.62418063,b,ing,163625.2964
1,Abasolo,1990,Ingresos provenientes de transferencias federales,338.5484341,b,ing,5214057.4244
2,Abasolo,1990,Ingresos de deuda,8.739985433,b,ing,134606.4
3,Abasolo,2000,Ingresos propios,155.70684169999998,b,ing,876058.3859999999
4,Abasolo,2000,Ingresos provenientes de transferencias federales,2553.803103,b,ing,14368544.118
5,Abasolo,2000,Ingresos de deuda,0.0,b,ing,0.0
6,Abasolo,2010,Ingresos propios,547.8473665,b,ing,2206101.7976
7,Abasolo,2010,Ingresos provenientes de transferencias federales,5381.866714,b,ing,21671995.812000003
8,Abasolo,2010,Ingresos de deuda,732.6119669999999,b,ing,2950122.0160000003
9,Abasolo,2015,Ingresos propios,1299.834407,b,ing,4164682.3082999997
10,Abasolo,2015,Ingresos provenientes de transferencias federales,13820.439180000001,b,ing,44280823.9599
11,Abasolo,2015,Ingresos de deuda,0.0,b,ing,0.0
12,Apodaca,1990,Ingresos propios,52.01060278,b,ing,67625189.726
13,Apodaca,1990,Ingresos provenientes de transferencias federales,89.29925893,b,ing,116108620.254
14,Apodaca,1990,Ingresos de deuda,5.7370614170000005,b,ing,7459438.0
15,Apodaca,2000,Ingresos propios,431.8397584,b,ing,273987767.688
16,Apodaca,2000,Ingresos provenientes de transferencias federales,492.2739853,b,ing,312331247.124
17,Apodaca,2000,Ingresos de deuda,16.75502739,b,ing,10630500.0
18,Apodaca,2010,Ingresos propios,565.2974187000001,b,ing,426866389.588
19,Apodaca,2010,Ingresos provenientes de transferencias federales,1009.0057529999999,b,ing,761918644.3948001
20,Apodaca,2010,Ingresos de deuda,374.8428798,b,ing,283050694.1704
21,Apodaca,2015,Ingresos propios,290.8494609,b,ing,210885933.2094
22,Apodaca,2015,Ingresos provenientes de transferencias federales,1674.5792880000001,b,ing,1214185561.2693
23,Apodaca,2015,Ingresos de deuda,654.2732235000001,b,ing,474393244.14089996
24,Apodaca,2018,Ingresos propios,1357.525624,b,ing,914040912.0744001
25,Apodaca,2018,Ingresos provenientes de transferencias federales,1739.2598420000002,b,ing,1171067877.7974002
26,Apodaca,2018,Ingresos de deuda,41.74146611,b,ing,28105110.554400004
27,Cadereyta,1990,Ingresos propios,25.38115412,b,ing,15255089.1356
28,Cadereyta,1990,Ingresos provenientes de transferencias federales,59.214381700000004,b,ing,35590212.59
29,Cadereyta,1990,Ingresos de deuda,1.3641894669999999,b,ing,819932.4512
30,Cadereyta,2000,Ingresos propios,400.1881053999999,b,ing,67224415.122
31,Cadereyta,2000,Ingresos provenientes de transferencias federales,718.4812614,b,ing,120691949.42999999
32,Cadereyta,2000,Ingresos de deuda,0.0,b,ing,0.0
33,Cadereyta,2010,Ingresos propios,526.5866041999999,b,ing,65677379.9412
34,Cadereyta,2010,Ingresos provenientes de transferencias federales,2121.602221,b,ing,264612267.09120002
35,Cadereyta,2010,Ingresos de deuda,138.0387877,b,ing,17216590.4564
36,Cadereyta,2015,Ingresos propios,933.3154479,b,ing,108253232.9478
37,Cadereyta,2015,Ingresos provenientes de transferencias federales,2752.912921,b,ing,319304394.2403
38,Cadereyta,2015,Ingresos de deuda,179.64647140000002,b,ing,20836804.2786
39,Cadereyta,2018,Ingresos propios,937.4782536,b,ing,100634797.67220001
40,Cadereyta,2018,Ingresos provenientes de transferencias federales,2944.211491,b,ing,316050133.96440005
41,Cadereyta,2018,Ingresos de deuda,2944.211491,b,ing,316050133.96440005
42,Ciénaga de Flores,1990,Ingresos propios,34.9287418,b,ing,2628212.3944
43,Ciénaga de Flores,1990,Ingresos provenientes de transferencias federales,223.56484790000002,b,ing,16822131.9756
44,Ciénaga de Flores,1990,Ingresos de deuda,0.0,b,ing,0.0
45,Ciénaga de Flores,2000,Ingresos propios,857.470457,b,ing,21500687.562
46,Ciénaga de Flores,2000,Ingresos provenientes de transferencias federales,1124.456176,b,ing,28195234.866
47,Ciénaga de Flores,2000,Ingresos de deuda,0.0,b,ing,0.0
48,Ciénaga de Flores,2010,Ingresos propios,1414.645274,b,ing,50058797.252000004
49,Ciénaga de Flores,2010,Ingresos provenientes de transferencias federales,1543.3374789999998,b,ing,54612714.106000006
50,Ciénaga de Flores,2010,Ingresos de deuda,724.9786757,b,ing,25654177.195600003
51,Ciénaga de Flores,2015,Ingresos propios,1648.975067,b,ing,85516311.177
52,Ciénaga de Flores,2015,Ingresos provenientes de transferencias federales,1870.864755,b,ing,97023572.8308
53,Ciénaga de Flores,2015,Ingresos de deuda,23.41097975,b,ing,1214100.0
54,El Carmen,1990,Ingresos propios,15.37810844,b,ing,846281.654
55,El Carmen,1990,Ingresos provenientes de transferencias federales,219.6351406,b,ing,12086869.516
56,El Carmen,1990,Ingresos de deuda,0.0,b,ing,0.0
57,El Carmen,2000,Ingresos propios,447.9254967,b,ing,6660326.046
58,El Carmen,2000,Ingresos provenientes de transferencias federales,1702.6178510000002,b,ing,25316687.934
59,El Carmen,2000,Ingresos de deuda,0.0,b,ing,0.0
60,El Carmen,2010,Ingresos propios,872.3255034,b,ing,20253250.1736
61,El Carmen,2010,Ingresos provenientes de transferencias federales,1898.2989059999998,b,ing,44073826.2328
62,El Carmen,2010,Ingresos de deuda,0.0,b,ing,0.0
63,El Carmen,2015,Ingresos propios,835.9931342,b,ing,38879795.6973
64,El Carmen,2015,Ingresos provenientes de transferencias federales,920.0979481,b,ing,42791284.735199995
65,El Carmen,2015,Ingresos de deuda,0.0,b,ing,0.0
66,García,1990,Ingresos propios,61.78608326,b,ing,9123532.0544
67,García,1990,Ingresos provenientes de transferencias federales,252.6383318,b,ing,37305389.7732
68,García,1990,Ingresos de deuda,17.527803100000003,b,ing,2588211.8592
69,García,2000,Ingresos propios,322.62404219999996,b,ing,20920172.742
70,García,2000,Ingresos provenientes de transferencias federales,917.3252916000001,b,ing,59482868.754
71,García,2000,Ingresos de deuda,37.96507213,b,ing,2461800.0
72,García,2010,Ingresos propios,856.9053303,b,ing,177622927.65
73,García,2010,Ingresos provenientes de transferencias federales,943.2806749,b,ing,195527171.0144
74,García,2010,Ingresos de deuda,772.1629173,b,ing,160057165.1656
75,García,2015,Ingresos propios,939.7426567,b,ing,282234713.5881
76,García,2015,Ingresos provenientes de transferencias federales,1553.4670609999998,b,ing,466555740.57269996
77,García,2015,Ingresos de deuda,0.0,b,ing,0.0
78,General Escobedo,1990,Ingresos propios,17.73521351,b,ing,19525308.9176
79,General Escobedo,1990,Ingresos provenientes de transferencias federales,48.4627956,b,ing,53354365.0216
80,General Escobedo,1990,Ingresos de deuda,1.882788063,b,ing,2072826.388
81,General Escobedo,2000,Ingresos propios,355.76804289999995,b,ing,185880536.52
82,General Escobedo,2000,Ingresos provenientes de transferencias federales,512.5653846,b,ing,267803504.526
83,General Escobedo,2000,Ingresos de deuda,64.14239881,b,ing,33512913.096
84,General Escobedo,2010,Ingresos propios,559.7217667,b,ing,289057953.564
85,General Escobedo,2010,Ingresos provenientes de transferencias federales,1327.715011,b,ing,685673859.6384001
86,General Escobedo,2010,Ingresos de deuda,938.7964921,b,ing,484824084.0
87,General Escobedo,2015,Ingresos propios,1153.361735,b,ing,595333249.0335
88,General Escobedo,2015,Ingresos provenientes de transferencias federales,1618.6548050000001,b,ing,835504590.3273
89,General Escobedo,2015,Ingresos de deuda,0.0,b,ing,0.0
90,General Escobedo,2018,Ingresos propios,770.7654464999999,b,ing,364899028.15080005
91,General Escobedo,2018,Ingresos provenientes de transferencias federales,1915.343711,b,ing,906770096.9514
92,General Escobedo,2018,Ingresos de deuda,91.00531545,b,ing,43084120.2264
93,General Zuazua,1990,Ingresos propios,26.11383688,b,ing,1361218.4372
94,General Zuazua,1990,Ingresos provenientes de transferencias federales,272.1704325,b,ing,14187245.3472
95,General Zuazua,1990,Ingresos de deuda,0.0,b,ing,0.0
96,General Zuazua,2000,Ingresos propios,470.67611469999997,b,ing,6355000.182
97,General Zuazua,2000,Ingresos provenientes de transferencias federales,1941.977623,b,ing,26220298.338
98,General Zuazua,2000,Ingresos de deuda,0.0,b,ing,0.0
99,General Zuazua,2010,Ingresos propios,223.47083109999997,b,ing,17801980.586
100,General Zuazua,2010,Ingresos provenientes de transferencias federales,600.6673972,b,ing,47849955.5772
101,General Zuazua,2010,Ingresos de deuda,0.0,b,ing,0.0
102,General Zuazua,2015,Ingresos propios,257.8147235,b,ing,21063887.1144
103,General Zuazua,2015,Ingresos provenientes de transferencias federales,1179.0917470000002,b,ing,96333735.78
104,General Zuazua,2015,Ingresos de deuda,71.84523137,b,ing,5869873.6173
105,Guadalupe,1990,Ingresos propios,49.23340429,a,ing,295768870.4024
106,Guadalupe,1990,Ingresos provenientes de transferencias federales,51.06068788,a,ing,306746246.6664
107,Guadalupe,1990,Ingresos de deuda,0.0,a,ing,0.0
108,Guadalupe,2000,Ingresos propios,346.87645519999995,a,ing,520253131.722
109,Guadalupe,2000,Ingresos provenientes de transferencias federales,550.7046908,a,ing,825959316.966
110,Guadalupe,2000,Ingresos de deuda,23.56757023,a,ing,35347173.42
111,Guadalupe,2010,Ingresos propios,481.6997637,a,ing,471211742.124
112,Guadalupe,2010,Ingresos provenientes de transferencias federales,1431.858298,a,ing,1400682528.3276
113,Guadalupe,2010,Ingresos de deuda,250.73524419999998,a,ing,245276000.0
114,Guadalupe,2015,Ingresos propios,686.6052674,a,ing,569253858.9705
115,Guadalupe,2015,Ingresos provenientes de transferencias federales,1880.2004350000002,a,ing,1558845240.5493
116,Guadalupe,2015,Ingresos de deuda,87.86316776,a,ing,72846000.0
117,Guadalupe,2018,Ingresos propios,929.481769,a,ing,685521537.4854001
118,Guadalupe,2018,Ingresos provenientes de transferencias federales,2568.7933160000002,a,ing,1894564479.1392002
119,Guadalupe,2018,Ingresos de deuda,106.9770892,a,ing,78898910.2308
120,Juárez,1990,Ingresos propios,32.3486828,b,ing,10165206.1152
121,Juárez,1990,Ingresos provenientes de transferencias federales,57.95873492,b,ing,18212874.0832
122,Juárez,1990,Ingresos de deuda,0.0,b,ing,0.0
123,Juárez,2000,Ingresos propios,333.77095210000004,b,ing,49671888.546
124,Juárez,2000,Ingresos provenientes de transferencias federales,513.9538024,b,ing,76486751.868
125,Juárez,2000,Ingresos de deuda,0.0,b,ing,0.0
126,Juárez,2010,Ingresos propios,442.1148072,b,ing,163916857.15760002
127,Juárez,2010,Ingresos provenientes de transferencias federales,839.8434097,b,ing,311377248.6108
128,Juárez,2010,Ingresos de deuda,44.36205394,b,ing,16447511.687600002
129,Juárez,2015,Ingresos propios,815.6702031000001,b,ing,330247966.2615
130,Juárez,2015,Ingresos provenientes de transferencias federales,1187.159868,b,ing,480656435.166
131,Juárez,2015,Ingresos de deuda,87.62410452,b,ing,35477184.5334
132,Juárez,2018,Ingresos propios,437.1304863,b,ing,171436900.5954
133,Juárez,2018,Ingresos provenientes de transferencias federales,1621.768142,b,ing,636036406.7706001
134,Juárez,2018,Ingresos de deuda,217.9753589,b,ing,85487105.3454
135,Monterrey,1990,Ingresos propios,59.25250225,a,ing,710666008.8644
136,Monterrey,1990,Ingresos provenientes de transferencias federales,93.48227242,a,ing,1121212960.1256
137,Monterrey,1990,Ingresos de deuda,0.0,a,ing,0.0
138,Monterrey,2000,Ingresos propios,698.8344703,a,ing,1737589914.0
139,Monterrey,2000,Ingresos provenientes de transferencias federales,761.4962057,a,ing,1893392760.0
140,Monterrey,2000,Ingresos de deuda,81.18833804,a,ing,201867600.0
141,Monterrey,2010,Ingresos propios,1123.098298,a,ing,1840052287.6416001
142,Monterrey,2010,Ingresos provenientes de transferencias federales,1962.662607,a,ing,3215570557.3844004
143,Monterrey,2010,Ingresos de deuda,186.0849694,a,ing,304876317.8836
144,Monterrey,2015,Ingresos propios,1693.7508920000002,a,ing,2280880342.3311
145,Monterrey,2015,Ingresos provenientes de transferencias federales,2429.0678629999998,a,ing,3271090905.1970997
146,Monterrey,2015,Ingresos de deuda,257.2682409,a,ing,346448864.4552
147,Monterrey,2018,Ingresos propios,2607.83479,a,ing,3028983835.4226003
148,Monterrey,2018,Ingresos provenientes de transferencias federales,3131.851463,a,ing,3637625931.1854005
149,Monterrey,2018,Ingresos de deuda,32.16430539,a,ing,37358640.00000001
150,Pesquería,1990,Ingresos propios,43.13837323,b,ing,3962105.7324
151,Pesquería,1990,Ingresos provenientes de transferencias federales,178.26563259999998,b,ing,16373062.5908
152,Pesquería,1990,Ingresos de deuda,7.309477284,b,ing,671349.42
153,Pesquería,2000,Ingresos propios,575.8190089,b,ing,14589179.586
154,Pesquería,2000,Ingresos provenientes de transferencias federales,905.9046903999999,b,ing,22952361.786
155,Pesquería,2000,Ingresos de deuda,8.833141949,b,ing,223800.0
156,Pesquería,2010,Ingresos propios,2305.7922559999997,b,ing,69340431.2784
157,Pesquería,2010,Ingresos provenientes de transferencias federales,1456.2766880000001,b,ing,43793560.89
158,Pesquería,2010,Ingresos de deuda,392.88451760000004,b,ing,11814933.377600001
159,Pesquería,2015,Ingresos propios,850.6106828,b,ing,90020697.4512
160,Pesquería,2015,Ingresos provenientes de transferencias federales,656.3936651,b,ing,69466580.57429999
161,Pesquería,2015,Ingresos de deuda,0.0,b,ing,0.0
162,Pesquería,2018,Ingresos propios,1728.881807,b,ing,189850784.31000003
163,Pesquería,2018,Ingresos provenientes de transferencias federales,1937.748982,b,ing,212786763.49260002
164,Pesquería,2018,Ingresos de deuda,0.0,b,ing,0.0
165,Salinas Victoria,1990,Ingresos propios,30.66305947,b,ing,3273751.0372
166,Salinas Victoria,1990,Ingresos provenientes de transferencias federales,170.4040765,b,ing,18193243.9832
167,Salinas Victoria,1990,Ingresos de deuda,0.0,b,ing,0.0
168,Salinas Victoria,2000,Ingresos propios,329.7678722,b,ing,14040101.952
169,Salinas Victoria,2000,Ingresos provenientes de transferencias federales,897.7988856000001,b,ing,38224426.788
170,Salinas Victoria,2000,Ingresos de deuda,5.476135407999999,b,ing,233150.364
171,Salinas Victoria,2010,Ingresos propios,996.4654011,b,ing,46955291.168000005
172,Salinas Victoria,2010,Ingresos provenientes de transferencias federales,1967.782578,b,ing,92725551.54120001
173,Salinas Victoria,2010,Ingresos de deuda,358.5945805,b,ing,16897639.3172
174,Salinas Victoria,2015,Ingresos propios,1726.373136,b,ing,113585869.74329999
175,Salinas Victoria,2015,Ingresos provenientes de transferencias federales,1703.1490989999998,b,ing,112057855.68959999
176,Salinas Victoria,2015,Ingresos de deuda,243.708481,b,ing,16034679.405
177,San Nicolás,1990,Ingresos propios,51.19982455,a,ing,250749255.1484
178,San Nicolás,1990,Ingresos provenientes de transferencias federales,69.53791889,a,ing,340559396.7808
179,San Nicolás,1990,Ingresos de deuda,0.0,a,ing,0.0
180,San Nicolás,2000,Ingresos propios,373.91069839999994,a,ing,415793544.0
181,San Nicolás,2000,Ingresos provenientes de transferencias federales,615.4971642999999,a,ing,684440826.0
182,San Nicolás,2000,Ingresos de deuda,106.2775973,a,ing,118182066.0
183,San Nicolás,2010,Ingresos propios,778.9576175,a,ing,498185681.66400003
184,San Nicolás,2010,Ingresos provenientes de transferencias federales,2119.697369,a,ing,1355661534.1936002
185,San Nicolás,2010,Ingresos de deuda,772.5397216,a,ing,494081088.8
186,San Nicolás,2015,Ingresos propios,1055.8601119999998,a,ing,551408811.9876
187,San Nicolás,2015,Ingresos provenientes de transferencias federales,3078.240941,a,ing,1607570133.0813
188,San Nicolás,2015,Ingresos de deuda,0.0,a,ing,0.0
189,San Nicolás,2018,Ingresos propios,1347.552955,a,ing,669356298.6462001
190,San Nicolás,2018,Ingresos provenientes de transferencias federales,2869.2278690000003,a,ing,1425202430.5728002
191,San Nicolás,2018,Ingresos de deuda,431.4381572,a,ing,214303895.76420003
192,San Pedro,1990,Ingresos propios,366.63283789999997,a,ing,464887611.0272
193,San Pedro,1990,Ingresos provenientes de transferencias federales,257.16037689999996,a,ing,326077374.6348
194,San Pedro,1990,Ingresos de deuda,0.0,a,ing,0.0
195,San Pedro,2000,Ingresos propios,2935.8708269999997,a,ing,827735792.13
196,San Pedro,2000,Ingresos provenientes de transferencias federales,1270.857872,a,ing,358304097.654
197,San Pedro,2000,Ingresos de deuda,0.0,a,ing,0.0
198,San Pedro,2010,Ingresos propios,4524.398446,a,ing,800693675.0892
199,San Pedro,2010,Ingresos provenientes de transferencias federales,3628.471046,a,ing,642139248.164
200,San Pedro,2010,Ingresos de deuda,81.52683456,a,ing,14428000.0
201,San Pedro,2015,Ingresos propios,10699.762509999999,a,ing,1599868075.7231998
