,Municipio,Year,Pob,prop_inv,prop_ingresos,hist
0,Abasolo,1990,1373,498.597595655824,10.62418063,b
1,Abasolo,2000,2514,532.6867303578,155.70684169999996,b
2,Abasolo,2010,2791,2997.7238085344006,547.8473665,b
3,Abasolo,2015,2639,8438.7853839564,1299.834407,b
4,Apodaca,1990,115913,885.044173420764,52.01060278,b
5,Apodaca,2000,283497,962.9071239708002,431.8397584,b
6,Apodaca,2010,523370,1507.2408224300002,565.2974187000002,b
7,Apodaca,2015,597207,1072.28026887291,290.8494609,b
8,Apodaca,2018,641618,990.5545537351202,1357.525624,b
9,Cadereyta,1990,53582,151.783483331628,25.38115412,b
10,Cadereyta,2000,75059,796.3355248494,400.18810539999987,b
11,Cadereyta,2010,86445,857.24503179852,526.5866041999999,b
12,Cadereyta,2015,95534,285.50425550688,933.3154479,b
13,Cadereyta,2018,102293,768.9113518680001,937.4782536,b
14,Ciénaga de Flores,1990,6708,505.014798622852,34.9287418,b
15,Ciénaga de Flores,2000,11204,1866.2588917104,857.470457,b
16,Ciénaga de Flores,2010,24526,1148.3624989686803,1414.645274,b
17,Ciénaga de Flores,2015,42715,1085.03478893322,1648.975067,b
18,El Carmen,1990,4906,415.802352256156,15.37810844,b
19,El Carmen,2000,6644,1777.1111169894,447.9254967,b
20,El Carmen,2010,16092,1090.8660948413199,872.3255034,b
21,El Carmen,2015,38306,416.6806667634,835.9931342,b
22,García,1990,13164,1209.0597574854398,61.78608326,b
23,García,2000,28974,942.141536379,322.6240422,b
24,García,2010,143668,725.25708081256,856.9053303,b
25,García,2015,247370,629.8925035491,939.7426567,b
26,General Escobedo,1990,98147,198.898521237824,17.73521351,b
27,General Escobedo,2000,233457,674.204026008,355.7680428999999,b
28,General Escobedo,2010,357937,1370.8998613158801,559.7217667,b
29,General Escobedo,2015,425148,697.85298760995,1153.361735,b
30,General Escobedo,2018,451138,484.9466890158001,770.7654464999998,b
31,General Zuazua,1990,4647,1585.92186769616,26.11383688,b
32,General Zuazua,2000,6033,1333.4992978914001,470.6761147,b
33,General Zuazua,2010,55213,288.39578944936,223.4708311,b
34,General Zuazua,2015,67294,575.48163190617,257.8147235,b
35,Guadalupe,1990,535560,232.40586501718002,49.23340429,a
36,Guadalupe,2000,670162,540.4261329456,346.8764551999999,a
37,Guadalupe,2010,678006,676.77372261732,481.6997637,a
38,Guadalupe,2015,682880,702.0200780856,686.6052674,a
39,Guadalupe,2018,702812,977.9535242353801,929.481769,a
40,Juárez,1990,28014,253.67953664332003,32.3486828,b
41,Juárez,2000,66497,338.6099015357999,333.7709521000001,b
42,Juárez,2010,256970,705.2379224862,442.1148072,b
43,Juárez,2015,333481,382.02419719682996,815.6702031000002,b
44,Juárez,2018,373725,344.11473558000006,437.1304863,b
45,Monterrey,1990,1069238,541.016101962752,59.25250225,a
46,Monterrey,2000,1110997,1026.5659187754002,698.8344703,a
47,Monterrey,2010,1135550,1225.62540376904,1123.098298,a
48,Monterrey,2015,1109171,1338.2836320897,1693.7508920000002,a
49,Monterrey,2018,1106817,1666.2741875208,2607.83479,a
50,Pesquería,1990,8188,773.3894991310481,43.13837323,b
51,Pesquería,2000,11321,549.2177728602001,575.8190089,b
52,Pesquería,2010,20843,1895.9408178468002,2305.792256,b
53,Pesquería,2015,87168,434.14618705758,850.6106828,b
54,Pesquería,2018,104642,1229.4153426258001,1728.881807,b
55,Salinas Victoria,1990,9518,753.72324284246,30.66305947,b
56,Salinas Victoria,2000,19024,1402.7201441886004,329.7678722,b
57,Salinas Victoria,2010,32660,1735.2914308936001,996.4654011,b
58,Salinas Victoria,2015,54192,2090.2903306362,1726.373136,b
59,San Nicolás,1990,436603,279.00373481475197,51.19982455,a
60,San Nicolás,2000,496878,328.9226449055999,373.9106984,a
61,San Nicolás,2010,443273,1378.7606453268002,778.9576175,a
62,San Nicolás,2015,430143,928.97731851867,1055.8601119999996,a
63,San Nicolás,2018,473337,1110.0872679336,1347.552955,a
64,San Pedro,1990,113040,2185.97626087064,366.6328379,a
65,San Pedro,2000,125978,1702.6431237036004,2935.870827,a
66,San Pedro,2010,122659,1777.5952589424,4524.398446,a
67,San Pedro,2015,123156,3718.5571244331,10699.76251,a
68,San Pedro,2018,135509,6723.566319947402,11684.51136,a
69,Santa Catarina,1990,163848,205.353941990456,37.70282823,b
70,Santa Catarina,2000,227026,651.4969653594002,385.2801794,b
71,Santa Catarina,2010,268955,550.61633448312,616.3624732999998,b
72,Santa Catarina,2015,296954,1533.947955309,881.8221071,b
73,Santiago,1990,30182,1001.8429111529441,116.435392,b
74,Santiago,2000,36812,807.020356104,703.6002391,b
75,Santiago,2010,40469,1158.55916608,1729.188243,b
76,Santiago,2015,42407,1404.6879622940999,2378.215861,b
77,Santiago,2018,45931,3725.458396209001,4174.446997,b
